
SETS
  %% insert here set definitions for your manual constraints, if any.

CONSTRAINTS
 %% insert here your manual constraints


%%%%%%%%% Begin of statistically-acquired constraint %%%%%%%%%
1.041967	PRON	(-2 ADV) (-1 AUX);
-2.612850	CCONJ	(-2 CCONJ) (-1 AUX);
-2.024929	SYM	(-2 DET) (-1 PUNCT);
-0.589159	ADV	(-2 NUM) (-1 PUNCT);
-3.763309	NUM	(-2 SCONJ) (-1 NOUN);
-2.495634	ADJ	(-2 SCONJ) (-1 SCONJ);
1.150906	CCONJ	(-2 VERB) (-1 PUNCT);
-4.053657	DET	(-2 CCONJ) (-1 NOUN);
-2.011828	VERB	(-2 VERB) (-1 VERB);
-3.047179	AUX	(-2 PUNCT) (-1 VERB);
2.314293	PUNCT	(-2 VERB) (-1 X);
1.174173	SCONJ	(-2 SYM) (-1 VERB);
4.765581	NUM	(-2 NOUN) (-1 SYM);
-2.778720	SCONJ	(-2 SCONJ) (-1 ADV);
2.389061	PUNCT	(-2 INTJ) (-1 INTJ);
-1.166327	ADP	(-2 PRON) (-1 AUX);
0.248469	PRON	(-2 NOUN) (-1 CCONJ);
-1.908216	PROPN	(-2 SYM) (-1 ADP);
-1.368315	ADJ	(-2 ADJ) (-1 NUM);
-0.714565	VERB	(-2 NOUN) (-1 VERB);
-5.867255	CCONJ	(-2 ADP) (-1 DET);
-4.762523	PUNCT	(-2 SCONJ) (-1 ADP);
0.705280	PUNCT	(-2 DET) (-1 NOUN);
0.132711	AUX	(-2 NUM) (-1 NOUN);
-2.971434	PRON	(-2 ADP) (-1 ADJ);
-0.275046	ADP	(-2 ADJ) (-1 CCONJ);
0.635733	SCONJ	(-2 NOUN) (-1 PUNCT);
2.036718	CCONJ	(-2 PUNCT) (-1 NOUN);
-0.568452	INTJ	(-2 ADP) (-1 PRON);
-4.247101	PUNCT	(-2 NUM) (-1 DET);
-3.154510	ADV	(-2 AUX) (-1 ADP);
-1.224927	ADV	(-2 NOUN) (-1 NOUN);
5.483068	NUM	(-2 ADV) (-1 SYM);
-3.699192	SYM	(-2 PUNCT) (-1 PROPN);
0.273805	AUX	(-2 AUX) (-1 PUNCT);
-0.917437	PUNCT	(-2 SCONJ) (-1 NOUN);
-6.981406	NOUN	(-2 OUT_OF_BOUNDS) (-1 AUX);
-2.302768	SYM	(-2 VERB) (-1 PUNCT);
5.452158	SCONJ	(-2 INTJ) (-1 AUX);
1.102746	ADV	(-2 ADJ) (-1 CCONJ);
-0.091904	CCONJ	(-2 SYM) (-1 ADV);
-4.171446	NOUN	(-2 DET) (-1 NOUN);
1.027164	SYM	(-2 ADJ) (-1 ADP);
-3.796489	ADP	(-2 OUT_OF_BOUNDS) (-1 SYM);
0.314293	PUNCT	(-2 OUT_OF_BOUNDS) (-1 X);
0.973657	NUM	(-2 X) (-1 X);
-0.118417	ADP	(-2 CCONJ) (-1 CCONJ);
2.342449	VERB	(-2 NUM) (-1 PRON);
-5.872709	ADJ	(-2 PRON) (-1 SCONJ);
0.994026	X	(-2 OUT_OF_BOUNDS) (-1 PUNCT);
